Predictor variable,Categorical,Sample average
bio_asc_01,false,264.1896551724138
bio_asc_02,false,77.79310344827586
bio_asc_03,false,87.62068965517241
bio_asc_05,false,311.2413793103448
bio_asc_06,false,222.77586206896552
bio_asc_07,false,88.46551724137932
bio_asc_08,false,260.7586206896552
bio_asc_09,false,265.7758620689655
bio_asc_11,false,258.9310344827586
bio_asc_12,false,2966.206896551724
bio_asc_14,false,156.39655172413794
bio_asc_15,false,24.051724137931036
bio_asc_21,false,0.02237992341919192
bio_asc_22,false,3.4482758620689653
bio_asc_24,false,113.72413793103448
bio_asc_27,false,0.17631120612074075
bio_asc_42,true,1.0
bias1,false,0.5681034483272454
